# number of turbine/pump units
param bar_n := 150;

# number of time periods
param bar_t := 24;

# parameters
param : 	p_min_bound	p_max_bound	U_t	D_t	T_U	T_D	c	c_u	p0	v0	R_U	R_D	S_U	S_D :=
28	58.9259	158.175	0	4	3	3	37397.2	37745.3840371638	0	0	39.5464	40.1675	58.9259	78.371447
29	32.1677	124.688	0	1	2	2	34645.9	34903.1728843916	0	0	32.0569	30.653	32.1677	42.783041
30	73.209	207.018	0	9	9	9	59586	60552.9499991733	0	0	59.0746	48.4274	73.209	97.36797
31	33.625	102.935	0	2	2	2	27921.6	28191.1578218805	0	0	26.3136	25.9072	33.625	44.72125
32	43.9426	104.306	0	3	2	2	23420.8	23666.3542939463	0	0	23.1226	25.5434	43.9426	58.443658
33	33.1185	122.666	1	0	2	2	28726.7	28983.0535790128	63.3343	1	30.8319	31.108	33.1185	44.047605
34	51.9582	155.494	3	0	3	3	37477.7	37853.892184891	113.252	1	36.4349	38.3356	51.9582	69.104406
35	97.3114	245.747	0	3	9	9	64739.6	65615.221322382	0	0	64.0595	49.1644	97.3114	129.424162
36	66.204	156.753	0	2	3	3	36566.3	36922.3648814733	0	0	34.5799	35.6539	66.204	88.05132
37	37.9466	116.249	2	0	2	2	28372.1	28621.8780484184	89.7676	1	34.6016	31.2483	37.9466	50.468978
38	67.8489	162.946	3	0	3	3	41263	41611.7309977829	129.741	1	35.5344	40.0021	67.8489	90.239037
39	74.5465	239.858	3	0	9	9	62691.9	63638.0699926335	115.625	1	59.034	66.2188	74.5465	99.146845
40	32.5471	101.1	0	2	2	2	22976.1	23235.460042799	0	0	23.5091	29.7308	32.5471	43.287643
41	56.1656	166.263	2	0	3	3	39631.3	39990.0668760696	81.5333	1	36.5316	33.1814	56.1656	74.700248
42	34.2663	122.531	0	2	2	2	25892.8	26112.8753198189	0	0	28.9411	30.4468	34.2663	45.574179
43	82.4259	200.415	0	1	9	9	57928.6	58879.8602882472	0	0	43.6063	50.3042	82.4259	109.626447
44	36.7584	117.333	0	2	2	2	32359.1	32632.8948822547	0	0	36.2316	33.5244	36.7584	48.888672
45	36.159	115.177	2	0	2	2	28413	28679.490046371	76.2964	1	24.3107	34.8588	36.159	48.09147
46	43.3897	118.449	0	4	2	2	33482.5	33757.7717188714	0	0	24.6181	29.0714	43.3897	57.708301
47	39.5671	121.879	2	0	2	2	36457.7	36725.5440812797	90.891	1	30.0387	33.833	39.5671	52.624243
48	46.2854	125.075	1	0	2	2	29332.4	29592.0448292801	105.149	1	28.4011	32.2442	46.2854	61.559582
49	83.9503	200.201	2	0	9	9	46165.3	47055.3104714447	115.318	1	35.8547	47.9389	83.9503	111.653899
50	77.6935	280.065	0	1	9	9	81492	82462.0930928665	0	0	66.6835	89.0418	77.6935	103.332355
51	77.7952	270.943	0	4	9	9	72819.2	73761.0179517854	0	0	77.4278	68.1735	77.7952	103.467616
52	89.9261	226.177	4	0	9	9	47834.6	48648.7634025727	157.196	1	47.9444	53.8144	89.9261	119.601713
53	57.4254	163.3	3	0	3	3	39169.6	39528.1277341707	102.113	1	32.0693	39.7246	57.4254	76.375782
54	33.1508	116.875	0	2	2	2	33247.5	33522.0406464116	0	0	32.6569	30.3657	33.1508	44.090564
55	31.5611	128.123	4	0	2	2	34105.2	34385.9830345787	75.0019	1	34.2116	42.2169	31.5611	41.976263
56	49.9758	106.505	0	2	2	2	24780.7	25023.5251828394	0	0	19.4285	18.5653	49.9758	66.467814
57	42.1401	117.324	2	0	2	2	31451.8	31709.4237047431	54.1761	1	25.104	24.1244	42.1401	56.046333
58	68.1559	189.727	0	3	3	3	53754.7	54119.3868405429	0	0	53.1954	51.1797	68.1559	90.647347
59	61.5659	190.718	3	0	3	3	53146.1	53534.2798353626	111.416	1	49.4145	50.7595	61.5659	81.882647
60	70.2455	269.07	0	9	9	9	60600.3	61462.9585392115	0	0	71.2347	61.9153	70.2455	93.426515
61	41.9397	110.144	4	0	2	2	22703.3	22942.323113602	76.9964	1	28.7661	23.8238	41.9397	55.779801
62	82.972	257.546	0	9	9	9	69413.7	70372.8799655646	0	0	66.6034	71.5627	82.972	110.35276
63	43.8231	116.789	0	3	2	2	30955.7	31228.2636467585	0	0	31.6195	23.9358	43.8231	58.284723
64	75.1256	216.041	4	0	9	9	50586.1	51397.1032265539	149.01	1	47.944	44.7467	75.1256	99.917048
65	42.0972	118.969	0	1	2	2	34869.1	35148.8059070967	0	0	23.999	25.102	42.0972	55.989276
66	45.14	117.937	0	4	2	2	31774.6	32052.6943580202	0	0	27.1685	30.0699	45.14	60.0362
67	65.3414	191.282	2	0	3	3	44358.8	44711.3226952938	82.5096	1	47.7949	53.5366	65.3414	86.904062
68	44.8993	115.187	3	0	2	2	28468	28719.4291353818	65.2675	1	25.1652	26.878	44.8993	59.716069
69	64.3693	175.862	4	0	3	3	44405.7	44773.0849415062	112.746	1	39.0556	49.9582	64.3693	85.611169
70	86.4143	300.776	0	2	9	9	80334.4	81335.2004733473	0	0	95.41	86.7298	86.4143	114.931019
71	61.9558	160.13	4	0	3	3	45167.4	45541.8372500944	95.6911	1	42.7339	33.2592	61.9558	82.401214
72	68.2516	155.614	4	0	3	3	38358.7	38707.3029186843	113.504	1	37.8291	27.885	68.2516	90.774628
73	95.9378	308.586	0	4	9	9	80141.9	80999.1855084487	0	0	76.4789	89.4355	95.9378	127.597274
74	35.0286	106.55	0	3	2	2	25211.9	25450.5535319175	0	0	31.4817	31.6307	35.0286	46.588038
75	37.6133	118.897	0	3	2	2	31510.5	31742.3921679622	0	0	29.555	28.3236	37.6133	50.025689
76	46.5487	121.718	1	0	2	2	35557.8	35819.1922298169	102.958	1	22.8263	25.2093	46.5487	61.909771
77	59.875	194.341	4	0	3	3	54161.8	54541.9308948103	82.1302	1	53.4843	51.7943	59.875	79.63375
78	44.374	111.363	0	1	2	2	30387.7	30656.5544414901	0	0	29.8298	25.5295	44.374	59.01742
79	59.7076	198.018	0	4	3	3	53162.4	53508.3790559306	0	0	57.1534	46.4068	59.7076	79.411108
80	41.3495	114.262	0	2	2	2	27799.8	28051.8779202345	0	0	29.066	31.0183	41.3495	54.994835
81	63.4888	199.446	3	0	3	3	47915	48287.7494003522	167.948	1	49.2261	43.7586	63.4888	84.440104
82	37.7315	124.752	1	0	2	2	31686	31948.9647290684	73.7566	1	33.8066	38.4262	37.7315	50.182895
83	55.9885	179.082	0	3	3	3	40033.4	40378.0502423954	0	0	55.0167	54.9639	55.9885	74.464705
84	49.4889	128.227	3	0	2	2	32157.2	32402.9540284905	88.3584	1	29.4459	27.3415	49.4889	65.820237
85	61.2412	178.118	4	0	3	3	42049.2	42388.9042201871	128.311	1	51.9645	43.1351	61.2412	81.450796
86	45.1747	124.239	0	2	2	2	36741.1	37008.4160759251	0	0	23.8651	33.9892	45.1747	60.082351
87	55.7121	179.453	3	0	3	3	39073.4	39419.7991236139	83.4973	1	50.4666	53.8096	55.7121	74.097093
88	71.3641	240.138	0	4	9	9	56202.3	56997.4285492485	0	0	75.7929	53.584	71.3641	94.914253
89	45.9243	105.185	2	0	2	2	26041.8	26321.4507598992	81.9366	1	24.0265	26.0306	45.9243	61.079319
90	60.9274	165.073	4	0	3	3	33987.9	34311.7359281258	78.0163	1	32.2587	33.226	60.9274	81.033442
91	70.1691	295.305	4	0	9	9	78843.5	79799.7677582167	172.09	1	76.0293	70.56	70.1691	93.324903
92	67.3682	194.647	0	3	3	3	43874.1	44238.559484357	0	0	45.1077	55.4243	67.3682	89.599706
93	58.9198	182.643	3	0	3	3	47060.7	47416.5380157521	101.327	1	49.3154	43.2653	58.9198	78.363334
94	66.2011	181.329	0	1	3	3	39227.1	39572.83438216	0	0	42.201	41.6559	66.2011	88.047463
95	69.3254	176.02	3	0	3	3	48661.7	49036.0550994326	106.714	1	41.1011	33.6303	69.3254	92.202782
96	74.9401	241.248	0	3	9	9	66960.6	67956.5091739596	0	0	56.0861	74.3882	74.9401	99.670333
97	68.5626	160.136	0	3	3	3	36989.7	37327.2941042584	0	0	30.8654	38.9856	68.5626	91.188258
98	43.4335	118.667	0	2	2	2	30341.5	30611.485391627	0	0	33.0174	25.1285	43.4335	57.766555
99	42.8779	123.566	2	0	2	2	28786.3	29029.9561619588	60.4733	1	34.0708	29.277	42.8779	57.027607
100	60.4891	167.022	1	0	3	3	45384.4	45774.8653822785	78.4297	1	40.6163	44.4093	60.4891	80.450503
101	98.7159	279.333	2	0	9	9	55555.8	56339.9885471698	173.762	1	70.4013	71.1711	98.7159	131.292147
102	67.8873	152.17	0	3	3	3	43737.2	44138.1747031402	0	0	29.0334	27.102	67.8873	90.290109
103	92.2599	310.01	3	0	9	9	86782.2	87765.7077006726	133.09	1	68.3039	72.1179	92.2599	122.705667
104	67.1312	176.823	0	3	3	3	51333.9	51712.5713817634	0	0	48.9249	45.8292	67.1312	89.284496
105	60.3379	150.188	1	0	3	3	38865.8	39219.8565710417	88.8076	1	29.5997	37.9339	60.3379	80.249407
106	65.3662	185.038	0	3	3	3	37861.7	38180.4721609192	0	0	46.1468	49.8143	65.3662	86.937046
107	91.8154	244.928	3	0	9	9	66496.9	67437.0637916413	115.749	1	49.5012	48.1823	91.8154	122.114482
108	93.1933	283.495	4	0	9	9	58771.6	59572.2344596805	136.287	1	77.1824	72.2188	93.1933	123.947089
109	48.1846	122.457	0	4	2	2	34492.5	34733.4317269646	0	0	27.9203	23.1582	48.1846	64.085518
110	97.183	216.002	3	0	9	9	58426.6	59410.8442977995	147.026	1	48.7918	36.9591	97.183	129.25339
111	61.895	194.251	2	0	3	3	46240	46585.235347871	107.738	1	42.6826	52.5422	61.895	82.32035
112	33.1434	106.271	0	4	2	2	25778.7	26047.6161207621	0	0	26.5828	28.6505	33.1434	44.080722
113	65.4769	152.368	0	3	3	3	46153	46539.0752910308	0	0	27.4302	38.707	65.4769	87.084277
114	88.191	300.031	0	4	9	9	67865	68740.6810332272	0	0	86.7694	85.6198	88.191	117.29403
115	64.0782	168.939	1	0	3	3	45316.7	45704.8079953647	79.7545	1	41.8713	32.6366	64.0782	85.224006
116	35.2829	115.58	4	0	2	2	33661.3	33934.2276689746	44.8011	1	29.5956	27.2277	35.2829	46.926257
117	48.0842	109.543	2	0	2	2	24451.5	24700.4227041262	93.4567	1	24.908	25.3855	48.0842	63.951986
118	55.1423	171.816	0	3	3	3	37928.8	38260.1351740589	0	0	42.0778	48.8819	55.1423	73.339259
119	79.1254	289.477	9	0	9	9	76031	76957.9659763472	130.385	1	93.4481	75.0251	79.1254	105.236782
120	42.6943	125.423	0	3	2	2	35122.4	35376.8738666561	0	0	31.9962	26.7779	42.6943	56.783419
121	35.5013	103.358	4	0	2	2	29825.5	30100.322112115	72.7789	1	22.3151	21.8749	35.5013	47.216729
122	83.3519	266.508	0	3	9	9	66641.2	67479.074406019	0	0	80.5777	64.4998	83.3519	110.858027
123	43.971	111.197	1	0	2	2	26606.6	26864.9098749011	82.8082	1	22.6588	26.589	43.971	58.48143
124	85.5014	311.893	0	1	9	9	67798.5	68604.275181669	0	0	97.723	93.4941	85.5014	113.716862
125	41.5504	110.593	0	4	2	2	26907.7	27184.5600365616	0	0	28.1225	27.0849	41.5504	55.262032
126	51.2907	158.674	0	4	3	3	46321	46719.2006860548	0	0	45.5335	46.1537	51.2907	68.216631
127	95.9339	224.652	0	4	9	9	62213.6	63182.7349360447	0	0	43.6702	43.4475	95.9339	127.592087
128	48.2797	119.44	0	2	2	2	33941	34195.7976030314	0	0	26.4423	25.2585	48.2797	64.212001
129	54.1287	164.301	2	0	3	3	44746.5	45116.7287581011	82.6617	1	36.6878	36.4877	54.1287	71.991171
130	87.5225	309.096	2	0	9	9	63225.1	64025.1207597652	188.631	1	68.4943	95.7886	87.5225	116.404925
131	39.7883	108.068	2	0	2	2	27071.3	27326.8256587021	63.4311	1	23.3807	25.7893	39.7883	52.918439
132	48.8273	129.191	0	4	2	2	33923.3	34204.2733469444	0	0	25.8287	35.9797	48.8273	64.940309
133	63.4942	178.093	1	0	3	3	56302.4	56716.1561573841	134.346	1	39.0499	43.7815	63.4942	84.447286
134	65.4133	162.621	0	3	3	3	42705.5	43072.0824165796	0	0	40.504	32.5649	65.4133	86.999689
135	53.2577	150.422	0	1	3	3	39142.4	39477.6999871428	0	0	42.627	34.3412	53.2577	70.832741
136	46.1731	115.803	0	4	2	2	33986.3	34254.4529894196	0	0	24.9751	22.1121	46.1731	61.410223
137	62.2387	199.65	3	0	3	3	45085.9	45411.6314041664	127.105	1	51.6398	47.905	62.2387	82.777471
138	98.3433	246.078	0	3	9	9	67940	68888.2896174393	0	0	54.6212	60.9939	98.3433	130.796589
139	71.6138	319.985	2	0	9	9	75056.3	75944.7161742946	104.062	1	110.312	87.2723	71.6138	95.246354
140	57.5734	183.845	1	0	3	3	43969.3	44315.3803143153	86.7089	1	47.4571	50.6934	57.5734	76.572622
141	89.5413	309.311	2	0	9	9	83887.6	84856.6151780323	148.264	1	97.5056	76.889	89.5413	119.089929
142	54.5298	153.379	2	0	3	3	39853.2	40222.4900674726	69.3919	1	37.688	32.9108	54.5298	72.524634
143	46.9997	105.103	1	0	2	2	27130.3	27409.3451257357	79.3613	1	22.5091	17.5969	46.9997	62.509601
144	91.7151	285.751	2	0	9	9	73226.8	74141.4096054419	145.587	1	75.2654	81.5737	91.7151	121.981083
145	42.0806	129.047	0	3	2	2	34519	34774.3691557848	0	0	29.0508	34.5274	42.0806	55.967198
146	90.403	326.875	1	0	9	9	78638.4	79464.0710672154	257.925	1	95.2309	89.0255	90.403	120.23599
147	92.6577	296.602	0	2	9	9	75608.6	76581.7143826285	0	0	66.2253	86.4953	92.6577	123.234741
148	43.65	102.436	2	0	2	2	21841.8	22092.5674143404	65.7762	1	21.9966	21.4847	43.65	58.0545
149	83.3212	327.34	2	0	9	9	77708.5	78564.2337252107	195.032	1	86.9087	83.1755	83.3212	110.817196
150	71.4498	290.888	0	9	9	9	81119	82052.2388303962	0	0	87.8801	75.6763	71.4498	95.028234
;


# demand and spinning reserves
param :		D	R :=
1	5645.1	0.0775176
2	3710.503	0.0806026
3	2656.262	0.0961386333333333
4	2614.021	0.0738099333333333
5	3468.879	0.0826617333333333
6	5008.01	0.0911294
7	6842.59	0.0876527333333333
8	8687.44	0.0879060333333333
9	10258.72	0.101545533333333
10	10605.08	0.0681905666666667
11	10663.69	0.0771675
12	11537.78	0.0905447333333333
13	11279.04	0.0998461666666667
14	6291.19	0.0799147
15	8117.17	0.0729737
16	10079.62	0.0968459
17	11192.9	0.068699
18	11350.87	0.0829281333333333
19	9580.2	0.0748138333333333
20	11094.14	0.0658632
21	9798.46	0.088406
22	6324.69	0.0904115666666667
23	4041.09	0.0766167333333333
24	2346.091	0.0726967333333333
;
