# number of turbine/pump units
param bar_n := 50;

# number of time periods
param bar_t := 24;

# parameters
param : 	p_min_bound	p_max_bound	U_t	D_t	T_U	T_D	c	c_u	p0	v0	R_U	R_D	S_U	S_D :=
28	58.9259	158.175	0	4	3	3	37397.2	37745.3840371638	0	0	39.5464	40.1675	58.9259	78.371447
29	32.1677	124.688	0	1	2	2	34645.9	34903.1728843916	0	0	32.0569	30.653	32.1677	42.783041
30	73.209	207.018	0	9	9	9	59586	60552.9499991733	0	0	59.0746	48.4274	73.209	97.36797
31	33.625	102.935	0	2	2	2	27921.6	28191.1578218805	0	0	26.3136	25.9072	33.625	44.72125
32	43.9426	104.306	0	3	2	2	23420.8	23666.3542939463	0	0	23.1226	25.5434	43.9426	58.443658
33	33.1185	122.666	1	0	2	2	28726.7	28983.0535790128	63.3343	1	30.8319	31.108	33.1185	44.047605
34	51.9582	155.494	3	0	3	3	37477.7	37853.892184891	113.252	1	36.4349	38.3356	51.9582	69.104406
35	97.3114	245.747	0	3	9	9	64739.6	65615.221322382	0	0	64.0595	49.1644	97.3114	129.424162
36	66.204	156.753	0	2	3	3	36566.3	36922.3648814733	0	0	34.5799	35.6539	66.204	88.05132
37	37.9466	116.249	2	0	2	2	28372.1	28621.8780484184	89.7676	1	34.6016	31.2483	37.9466	50.468978
38	67.8489	162.946	3	0	3	3	41263	41611.7309977829	129.741	1	35.5344	40.0021	67.8489	90.239037
39	74.5465	239.858	3	0	9	9	62691.9	63638.0699926335	115.625	1	59.034	66.2188	74.5465	99.146845
40	32.5471	101.1	0	2	2	2	22976.1	23235.460042799	0	0	23.5091	29.7308	32.5471	43.287643
41	56.1656	166.263	2	0	3	3	39631.3	39990.0668760696	81.5333	1	36.5316	33.1814	56.1656	74.700248
42	34.2663	122.531	0	2	2	2	25892.8	26112.8753198189	0	0	28.9411	30.4468	34.2663	45.574179
43	82.4259	200.415	0	1	9	9	57928.6	58879.8602882472	0	0	43.6063	50.3042	82.4259	109.626447
44	36.7584	117.333	0	2	2	2	32359.1	32632.8948822547	0	0	36.2316	33.5244	36.7584	48.888672
45	36.159	115.177	2	0	2	2	28413	28679.490046371	76.2964	1	24.3107	34.8588	36.159	48.09147
46	43.3897	118.449	0	4	2	2	33482.5	33757.7717188714	0	0	24.6181	29.0714	43.3897	57.708301
47	39.5671	121.879	2	0	2	2	36457.7	36725.5440812797	90.891	1	30.0387	33.833	39.5671	52.624243
48	46.2854	125.075	1	0	2	2	29332.4	29592.0448292801	105.149	1	28.4011	32.2442	46.2854	61.559582
49	83.9503	200.201	2	0	9	9	46165.3	47055.3104714447	115.318	1	35.8547	47.9389	83.9503	111.653899
50	77.6935	280.065	0	1	9	9	81492	82462.0930928665	0	0	66.6835	89.0418	77.6935	103.332355
;


# demand and spinning reserves
param :		D	R :=
1	1630.08	0.0689791
2	931.252	0.089505
3	522.26	0.102805
4	692.72	0.0696757
5	899.269	0.0740484
6	1348.88	0.0979264
7	1774.99	0.0987185
8	2311.95	0.0972989
9	2826.42	0.0980036
10	2715.32	0.0614727
11	2937.08	0.094467
12	2889.14	0.0845456
13	3055.03	0.108302
14	1717.99	0.0649399
15	2203.03	0.0933251
16	2712.1	0.0909365
17	3031.05	0.0741152
18	2999	0.0996375
19	2491.44	0.0634621
20	3052.23	0.0681804
21	2679.28	0.0897183
22	1720.84	0.101749
23	1026.53	0.081003
24	637.884	0.0705126
;
