# number of turbine/pump units
param bar_n := 50;

# number of time periods
param bar_t := 24;

# parameters
param :		p_min_bound	p_max_bound	U_t	D_t	T_U	T_D	c	c_u	p0	v0	R_U	R_D	S_U	S_D :=
43	273.108	58.9198	182.643	3	0	3	3	47060.7	47416.5380157521	101.327	1	49.3154	43.2653	58.9198	78.363334
44	239.268	66.2011	181.329	0	1	3	3	39227.1	39572.83438216	0	0	42.201	41.6559	66.2011	88.047463
45	245.564	69.3254	176.02	3	0	3	3	48661.7	49036.0550994326	106.714	1	41.1011	33.6303	69.3254	92.202782
46	442.076	74.9401	241.248	0	3	9	9	66960.6	67956.5091739596	0	0	56.0861	74.3882	74.9401	99.670333
47	348.872	68.5626	160.136	0	3	3	3	36989.7	37327.2941042584	0	0	30.8654	38.9856	68.5626	91.188258
48	107.09	43.4335	118.667	0	2	2	2	30341.5	30611.485391627	0	0	33.0174	25.1285	43.4335	57.766555
49	143.716	42.8779	123.566	2	0	2	2	28786.3	29029.9561619588	60.4733	1	34.0708	29.277	42.8779	57.027607
50	231.87	60.4891	167.022	1	0	3	3	45384.4	45774.8653822785	78.4297	1	40.6163	44.4093	60.4891	80.450503
;


# demand and spinning reserves
param :	D	R :=
1	1821.69	0.0966083
2	957.091	0.0875044
3	612.622	0.0856608
4	809.671	0.0778407
5	1031.34	0.101417
6	1520.06	0.0720448
7	2222.11	0.0730983
8	2458.03	0.0716974
9	3004.25	0.104239
10	3169.72	0.0623746
11	3242.08	0.0637407
12	3641.71	0.097955
13	3375.84	0.0837745
14	1864.91	0.0863641
15	2395.81	0.0635484
16	3045.89	0.101581
17	3494.43	0.0691232
18	3350.92	0.0710957
19	2961.99	0.069035
20	3341.09	0.0603317
21	2989.37	0.0966168
22	1933.01	0.0952578
23	1262.98	0.0773534
24	721.841	0.0837379
;
