# number of turbine/pump units
param bar_n := 50;

# number of time periods
param bar_t := 24;

# parameters
param : 	p_min_bound	p_max_bound	U_t	D_t	T_U	T_D	c	c_u	p0	v0	R_U	R_D	S_U	S_D :=
24	85.5014	311.893	0	1	9	9	67798.5	68604.275181669	0	0	97.723	93.4941	85.5014	113.716862
25	41.5504	110.593	0	4	2	2	26907.7	27184.5600365616	0	0	28.1225	27.0849	41.5504	55.262032
26	51.2907	158.674	0	4	3	3	46321	46719.2006860548	0	0	45.5335	46.1537	51.2907	68.216631
27	95.9339	224.652	0	4	9	9	62213.6	63182.7349360447	0	0	43.6702	43.4475	95.9339	127.592087
28	48.2797	119.44	0	2	2	2	33941	34195.7976030314	0	0	26.4423	25.2585	48.2797	64.212001
29	54.1287	164.301	2	0	3	3	44746.5	45116.7287581011	82.6617	1	36.6878	36.4877	54.1287	71.991171
30	87.5225	309.096	2	0	9	9	63225.1	64025.1207597652	188.631	1	68.4943	95.7886	87.5225	116.404925
31	39.7883	108.068	2	0	2	2	27071.3	27326.8256587021	63.4311	1	23.3807	25.7893	39.7883	52.918439
32	48.8273	129.191	0	4	2	2	33923.3	34204.2733469444	0	0	25.8287	35.9797	48.8273	64.940309
33	63.4942	178.093	1	0	3	3	56302.4	56716.1561573841	134.346	1	39.0499	43.7815	63.4942	84.447286
34	65.4133	162.621	0	3	3	3	42705.5	43072.0824165796	0	0	40.504	32.5649	65.4133	86.999689
35	53.2577	150.422	0	1	3	3	39142.4	39477.6999871428	0	0	42.627	34.3412	53.2577	70.832741
36	46.1731	115.803	0	4	2	2	33986.3	34254.4529894196	0	0	24.9751	22.1121	46.1731	61.410223
37	62.2387	199.65	3	0	3	3	45085.9	45411.6314041664	127.105	1	51.6398	47.905	62.2387	82.777471
38	98.3433	246.078	0	3	9	9	67940	68888.2896174393	0	0	54.6212	60.9939	98.3433	130.796589
39	71.6138	319.985	2	0	9	9	75056.3	75944.7161742946	104.062	1	110.312	87.2723	71.6138	95.246354
40	57.5734	183.845	1	0	3	3	43969.3	44315.3803143153	86.7089	1	47.4571	50.6934	57.5734	76.572622
41	89.5413	309.311	2	0	9	9	83887.6	84856.6151780323	148.264	1	97.5056	76.889	89.5413	119.089929
42	54.5298	153.379	2	0	3	3	39853.2	40222.4900674726	69.3919	1	37.688	32.9108	54.5298	72.524634
43	46.9997	105.103	1	0	2	2	27130.3	27409.3451257357	79.3613	1	22.5091	17.5969	46.9997	62.509601
44	91.7151	285.751	2	0	9	9	73226.8	74141.4096054419	145.587	1	75.2654	81.5737	91.7151	121.981083
45	42.0806	129.047	0	3	2	2	34519	34774.3691557848	0	0	29.0508	34.5274	42.0806	55.967198
46	90.403	326.875	1	0	9	9	78638.4	79464.0710672154	257.925	1	95.2309	89.0255	90.403	120.23599
47	92.6577	296.602	0	2	9	9	75608.6	76581.7143826285	0	0	66.2253	86.4953	92.6577	123.234741
48	43.65	102.436	2	0	2	2	21841.8	22092.5674143404	65.7762	1	21.9966	21.4847	43.65	58.0545
49	83.3212	327.34	2	0	9	9	77708.5	78564.2337252107	195.032	1	86.9087	83.1755	83.3212	110.817196
50	71.4498	290.888	0	9	9	9	81119	82052.2388303962	0	0	87.8801	75.6763	71.4498	95.028234
;


# demand and spinning reserves
param :	D	R :=
1	2193.33	0.0669654
2	1822.16	0.0647984
3	1521.38	0.0999501
4	1111.63	0.0739134
5	1538.27	0.0725198
6	2139.07	0.103417
7	2845.49	0.0911414
8	3917.46	0.0947218
9	4428.05	0.102394
10	4720.04	0.0807244
11	4484.53	0.0732948
12	5006.93	0.0891336
13	4848.17	0.107462
14	2708.29	0.0884401
15	3518.33	0.0620476
16	4321.63	0.0980202
17	4667.42	0.0628586
18	5000.95	0.0780512
19	4126.77	0.0919444
20	4700.82	0.0690775
21	4129.81	0.0788829
22	2670.84	0.0742279
23	1751.58	0.0714938
24	986.366	0.0638397
;
